TAG,AREA,AREA2
10_11,COCIMIENTO CASA 1,COCIMIENTOS
10_12,COCIMIENTO CASA 1,COCIMIENTOS
10_13,COCIMIENTO CASA 1,COCIMIENTOS
10_14,COCIMIENTO CASA 1,COCIMIENTOS
10_15,COCIMIENTO CASA 1,COCIMIENTOS
10_17,COCIMIENTO CASA 1,COCIMIENTOS
11_10,COCIMIENTO CASA 2,COCIMIENTOS
11_11,COCIMIENTO CASA 2,COCIMIENTOS
11_12,COCIMIENTO CASA 2,COCIMIENTOS
11_13,COCIMIENTO CASA 2,COCIMIENTOS
11_14,COCIMIENTO CASA 2,COCIMIENTOS
11_15,COCIMIENTO CASA 2,COCIMIENTOS
11_17,COCIMIENTO CASA 2,COCIMIENTOS
21_12,COCIMIENTO CASA 1,COCIMIENTOS
21_14,COCIMIENTO CASA 1,COCIMIENTOS
21_15,COCIMIENTO CASA 1,COCIMIENTOS
21_17,COCIMIENTO CASA 1,COCIMIENTOS
21_20,COCIMIENTO CASA 1,COCIMIENTOS
21_21,COCIMIENTO CASA 1,COCIMIENTOS
21_22,COCIMIENTO CASA 1,COCIMIENTOS
21_26,COCIMIENTO CASA 1,COCIMIENTOS
21_39,COCIMIENTO CASA 1,COCIMIENTOS
21_40,COCIMIENTO CASA 1,COCIMIENTOS
21_41,COCIMIENTO CASA 1,COCIMIENTOS
21_42,COCIMIENTO CASA 1,COCIMIENTOS
21_43,COCIMIENTO CASA 1,COCIMIENTOS
21_47,COCIMIENTO CASA 1,COCIMIENTOS
21_50,COCIMIENTO CASA 1,COCIMIENTOS
21_52,COCIMIENTO CASA 1,COCIMIENTOS
21_53,COCIMIENTO CASA 1,COCIMIENTOS
21_55,COCIMIENTO CASA 1,COCIMIENTOS
21_56,COCIMIENTO CASA 1,COCIMIENTOS
21_57,COCIMIENTO CASA 1,COCIMIENTOS
21_58,COCIMIENTO CASA 1,COCIMIENTOS
21_59,COCIMIENTO CASA 1,COCIMIENTOS
21_63,COCIMIENTO CASA 1,COCIMIENTOS
21_65,COCIMIENTO CASA 1,COCIMIENTOS
21_66,COCIMIENTO CASA 1,COCIMIENTOS
21_AV,COCIMIENTO CASA 1,COCIMIENTOS
22_12,COCIMIENTO CASA 2,COCIMIENTOS
22_14,COCIMIENTO CASA 2,COCIMIENTOS
22_15,COCIMIENTO CASA 2,COCIMIENTOS
22_17,COCIMIENTO CASA 2,COCIMIENTOS
22_20,COCIMIENTO CASA 2,COCIMIENTOS
22_21,COCIMIENTO CASA 2,COCIMIENTOS
22_22,COCIMIENTO CASA 2,COCIMIENTOS
22_23,COCIMIENTO CASA 2,COCIMIENTOS
22_26,COCIMIENTO CASA 2,COCIMIENTOS
22_40,COCIMIENTO CASA 2,COCIMIENTOS
22_41,COCIMIENTO CASA 2,COCIMIENTOS
22_42,COCIMIENTO CASA 2,COCIMIENTOS
22_50,COCIMIENTO CASA 2,COCIMIENTOS
22_52,COCIMIENTO CASA 2,COCIMIENTOS
22_53,COCIMIENTO CASA 2,COCIMIENTOS
22_55,COCIMIENTO CASA 2,COCIMIENTOS
22_56,COCIMIENTO CASA 2,COCIMIENTOS
22_57,COCIMIENTO CASA 2,COCIMIENTOS
22_59,COCIMIENTO CASA 2,COCIMIENTOS
22_63,COCIMIENTO CASA 2,COCIMIENTOS
22_65,COCIMIENTO CASA 2,COCIMIENTOS
31_11,UNITANQUES,CUARTOS F.
31_12,UNITANQUES,CUARTOS F.
31_23,UNITANQUES,CUARTOS F.
31_25,UNITANQUES,CUARTOS F.
31_26,UNITANQUES,CUARTOS F.
31_27,UNITANQUES,CUARTOS F.
31_30,UNITANQUES,CUARTOS F.
31_50,UNITANQUES,CUARTOS F.
31_53,UNITANQUES,CUARTOS F.
32_10,UNITANQUES,CUARTOS F.
32_11,UNITANQUES,CUARTOS F.
32_12,UNITANQUES,CUARTOS F.
32_16,UNITANQUES,CUARTOS F.
32_20,UNITANQUES,CUARTOS F.
32_23,UNITANQUES,CUARTOS F.
32_24,UNITANQUES,CUARTOS F.
32_44,UNITANQUES,CUARTOS F.
32_50,UNITANQUES,CUARTOS F.
32_53,UNITANQUES,CUARTOS F.
32_81,UNITANQUES,CUARTOS F.
5_X_A,FILTROS,CUARTOS F.
50_31,FILTROS,CUARTOS F.
51_10,UNITANQUES,CUARTOS F.
51_16,UNITANQUES,CUARTOS F.
51_20,UNITANQUES,CUARTOS F.
51_21,UNITANQUES,CUARTOS F.
51_22,UNITANQUES,CUARTOS F.
51_23,UNITANQUES,CUARTOS F.
51_50,UNITANQUES,CUARTOS F.
51_53,UNITANQUES,CUARTOS F.
52_10,UNITANQUES,CUARTOS F.
52_15,UNITANQUES,CUARTOS F.
52_16,UNITANQUES,CUARTOS F.
52_19,UNITANQUES,CUARTOS F.
52_43,UNITANQUES,CUARTOS F.
52_50,UNITANQUES,CUARTOS F.
52_53,UNITANQUES,CUARTOS F.
70/20,FILTROS,CUARTOS F.
70/23,FILTROS,CUARTOS F.
70/24,FILTROS,CUARTOS F.
70/30,FILTROS,CUARTOS F.
70/32,FILTROS,CUARTOS F.
70-17,FILTROS,CUARTOS F.
70-24,FILTROS,CUARTOS F.
70-25,FILTROS,CUARTOS F.
70-26,FILTROS,CUARTOS F.
70-27,FILTROS,CUARTOS F.
70-37,FILTROS,CUARTOS F.
70-47,FILTROS,CUARTOS F.
70-57,FILTROS,CUARTOS F.
70-67,FILTROS,CUARTOS F.
71_10,FILTROS,CUARTOS F.
71_11,FILTROS,CUARTOS F.
71_12,FILTROS,CUARTOS F.
71_13,FILTROS,CUARTOS F.
71_14,FILTROS,CUARTOS F.
71_15,FILTROS,CUARTOS F.
71_17,FILTROS,CUARTOS F.
71_18,FILTROS,CUARTOS F.
71_22,FILTROS,CUARTOS F.
71_24,FILTROS,CUARTOS F.
71_28,FILTROS,CUARTOS F.
71_29,FILTROS,CUARTOS F.
71_31,FILTROS,CUARTOS F.
71_41,FILTROS,CUARTOS F.
71_47,FILTROS,CUARTOS F.
71_50,FILTROS,CUARTOS F.
71_53,FILTROS,CUARTOS F.
71_61,FILTROS,CUARTOS F.
71_70,FILTROS,CUARTOS F.
72_10,FILTROS,CUARTOS F.
72_11,FILTROS,CUARTOS F.
72_12,FILTROS,CUARTOS F.
72_13,FILTROS,CUARTOS F.
72_14,FILTROS,CUARTOS F.
72_15,FILTROS,CUARTOS F.
72_17,FILTROS,CUARTOS F.
72_18,FILTROS,CUARTOS F.
72_22,FILTROS,CUARTOS F.
72_41,FILTROS,CUARTOS F.
73_10,FILTROS,CUARTOS F.
73_11,FILTROS,CUARTOS F.
73_12,FILTROS,CUARTOS F.
73_13,FILTROS,CUARTOS F.
73_14,FILTROS,CUARTOS F.
73_15,FILTROS,CUARTOS F.
73_17,FILTROS,CUARTOS F.
73_18,FILTROS,CUARTOS F.
73_22,FILTROS,CUARTOS F.
73_41,FILTROS,CUARTOS F.
74_10,FILTROS,CUARTOS F.
74_11,FILTROS,CUARTOS F.
74_12,FILTROS,CUARTOS F.
74_13,FILTROS,CUARTOS F.
74_14,FILTROS,CUARTOS F.
74_15,FILTROS,CUARTOS F.
74_17,FILTROS,CUARTOS F.
74_18,FILTROS,CUARTOS F.
74_22,FILTROS,CUARTOS F.
74_41,FILTROS,CUARTOS F.
75_10,FILTROS,CUARTOS F.
75_11,FILTROS,CUARTOS F.
75_12,FILTROS,CUARTOS F.
75_13,FILTROS,CUARTOS F.
75_14,FILTROS,CUARTOS F.
75_15,FILTROS,CUARTOS F.
75_17,FILTROS,CUARTOS F.
75_18,FILTROS,CUARTOS F.
75_19,FILTROS,CUARTOS F.
75_22,FILTROS,CUARTOS F.
75_24,FILTROS,CUARTOS F.
75_28,FILTROS,CUARTOS F.
75_29,FILTROS,CUARTOS F.
75_41,FILTROS,CUARTOS F.
75_47,FILTROS,CUARTOS F.
75_50,FILTROS,CUARTOS F.
75_53,FILTROS,CUARTOS F.
75_61,FILTROS,CUARTOS F.
75_62,FILTROS,CUARTOS F.
75_63,FILTROS,CUARTOS F.
76_10,FILTROS,CUARTOS F.
76_11,FILTROS,CUARTOS F.
76_12,FILTROS,CUARTOS F.
76_13,FILTROS,CUARTOS F.
76_14,FILTROS,CUARTOS F.
76_15,FILTROS,CUARTOS F.
76_17,FILTROS,CUARTOS F.
76_18,FILTROS,CUARTOS F.
76_22,FILTROS,CUARTOS F.
76_41,FILTROS,CUARTOS F.
78_31,FILTROS,CUARTOS F.
81_10,GOBIERNO,CUARTOS F.
81_15,GOBIERNO,CUARTOS F.
81_16,GOBIERNO,CUARTOS F.
81_50,GOBIERNO,CUARTOS F.
81_53,GOBIERNO,CUARTOS F.
71_80,FILTROS,CUARTOS F.
